name,type,required_age,is_free,recommendations,price_overview,metacritic_score,developer,publisher,positive,negative,genre,ccu
Counter-Strike,game,0.0,False,137378,14.5,88.0,Valve,Valve,216345,5530,Action,10775
Team Fortress Classic,game,0.0,False,5474,7.5,0.0,Valve,Valve,6472,990,Action,77
Day of Defeat,game,0.0,False,3694,7.5,79.0,Valve,Valve,5686,634,Action,89
Deathmatch Classic,game,0.0,False,1924,7.5,0.0,Valve,Valve,2242,490,Action,8
Half-Life: Opposing Force,game,0.0,False,15478,7.5,0.0,Gearbox Software,Valve,17468,890,Action,162
Ricochet,game,0.0,False,3647,7.5,0.0,Valve,Valve,4302,952,Action,9
Half-Life,game,0.0,False,74518,14.5,96.0,Valve,Valve,87726,3191,Action,925
Counter-Strike: Condition Zero,game,0.0,False,16877,14.5,65.0,Valve,Valve,21155,2023,Action,451
Half-Life: Blue Shift,game,0.0,False,11577,7.5,71.0,Gearbox Software,Valve,12547,1126,Action,74
Half-Life 2,game,0.0,False,130813,14.5,96.0,Valve,Valve,164166,4137,Action,1289
Counter-Strike: Source,game,0.0,False,105367,14.5,88.0,Valve,Valve,150846,5879,Action,3922
Half-Life: Source,game,0.0,False,11512,14.5,0.0,Valve,Valve,9546,3881,Action,78
Day of Defeat: Source,game,0.0,False,13172,14.5,80.0,Valve,Valve,18275,1709,Action,432
Half-Life 2: Deathmatch,game,0.0,False,7925,7.5,0.0,Valve,Valve,10733,1132,Action,198
Half-Life 2: Lost Coast,game,0.0,False,9086,0.0,0.0,Valve,Valve,10513,1317,Action,20
Half-Life Deathmatch: Source,game,0.0,False,3071,14.5,0.0,Valve,Valve,2723,936,Action,15
Half-Life 2: Episode One,game,0.0,False,20742,11.79,87.0,Valve,Valve,24577,1087,Action,213
Portal,game,0.0,False,115319,14.5,90.0,Valve,Valve,133848,2048,Action,745
Half-Life 2: Episode Two,game,0.0,False,27975,11.5,90.0,Valve,Valve,33820,1024,Action,280
Team Fortress 2,game,0.0,True,19943,0.0,92.0,Valve,Valve,909911,59944,Action/ Free to Play,120722
Left 4 Dead,game,0.0,False,40976,14.5,89.0,Valve,Valve,47590,1844,Action,711
Left 4 Dead 2,game,17.0,False,563972,14.5,89.0,Valve,Valve,742846,18804,Action,33123
Dota 2,game,0.0,True,14328,0.0,90.0,Valve,Valve,1659573,355797,Action/ Free to Play/ Strategy,524317
Portal 2,game,0.0,False,288115,14.5,95.0,Valve,Valve,347464,4398,Action/ Adventure,3175
Alien Swarm,game,0.0,True,309,0.0,77.0,Valve,Valve,19567,1053,Action,66
Counter Strike(GO),game,0.0,True,3871754,0.0,83.0,Valve/ Hidden Path Entertainment,Valve,6547618,828205,Action/ Free to Play,1088407
Killing Floor,game,0.0,False,36525,28.95,72.0,Tripwire Interactive,Tripwire Interactive,61382,3249,Action,286
Source Filmmaker,game,0.0,True,240,0.0,0.0,Valve,Valve,30957,2237,Animation & Modeling/ Video Production,1394
Dark Messiah of Might & Magic,game,0.0,False,6957,1.87,72.0,Arkane Studios,Ubisoft,8365,786,Action/ RPG,63
DOOM (1993),game,0.0,False,13327,7.45,0.0,id Software,id Software,14810,493,Action,82
Quake,game,0.0,False,10235,14.95,94.0,id Software/ Nightdive Studios/ MachineGames,Bethesda Softworks,11574,440,Action,127
The Ship: Murder Party,game,0.0,False,2545,14.5,76.0,Outerlight Ltd.,Blazing Griffin,5074,839,Action/ Indie/ RPG,6
Plants vs. Zombies GOTY Edition,game,0.0,False,98402,7.5,87.0,PopCap Games/ Inc.,PopCap Games/ Inc./ Electronic Arts,104900,2737,Strategy,6203
Psychonauts,game,0.0,False,9640,14.5,87.0,Double Fine Productions,Double Fine Productions,15109,757,Action,65
Garry's Mod,game,0.0,False,841357,14.5,0.0,Facepunch Studios,Valve,949375,32403,Indie/ Simulation,35466
S.T.A.L.K.E.R.: Shadow of Chernobyl,game,0.0,False,27947,28.95,82.0,GSC Game World,GSC Game World,33889,1980,Action/ RPG,431
Company of Heroes - Legacy Edition,game,15.0,False,4200,23.99,93.0,Relic Entertainment,SEGA,6106,414,Action/ Strategy,103
Total War: MEDIEVAL II – Definitive Edition,game,0.0,False,20939,9.37,0.0,Creative Assembly,SEGA/ Feral Interactive (Mac)/ Feral Interactive (Linux),27078,1158,Strategy,4584
Natural Selection 2,game,0.0,False,8195,7.5,80.0,Unknown Worlds Entertainment,Unknown Worlds Entertainment,10873,1862,Action/ Indie/ Strategy,142
Star Wars: Battlefront 2 (Classic/ 2005),game,0.0,False,42753,14.5,78.0,Pandemic Studios,Lucasfilm/ LucasArts/ Disney,47071,2816,Action,289
Hitman 2: Silent Assassin,game,15.0,False,2343,12.95,87.0,Io-Interactive A/S,Io-Interactive A/S,2742,526,Action,16
Hitman: Blood Money,game,15.0,False,9556,13.95,82.0,Io-Interactive A/S,Io-Interactive A/S,10811,665,Action,110
Just Cause,game,15.0,False,3778,9.95,75.0,Avalanche Studios,Square Enix,2963,1485,Action,9
Hitman: Codename 47,game,15.0,False,2565,11.95,73.0,IO Interactive A/S,IO Interactive A/S,2330,875,Action,18
Deus Ex: Game of the Year Edition,game,15.0,False,11176,1.39,90.0,Ion Storm,Eidos Interactive Corp.,12120,649,Action,90
Deus Ex: Invisible War,game,15.0,False,1745,1.39,80.0,Ion Storm,Eidos Interactive Corp.,1142,855,Action,6
X-COM: UFO Defense,game,0.0,False,2719,7.99,0.0,MicroProse Software/ Inc,2K,3239,180,Strategy,63
Just Cause 2,game,15.0,False,39184,17.95,84.0,Avalanche Studios,Square Enix,44972,4535,Action/ Adventure,197
Sam & Max 104: Abe Lincoln Must Die!,game,0.0,False,0,0.0,0.0,Telltale Games,Telltale Games,399,68,Action/ Adventure,1
EVE Online,game,0.0,True,7289,0.0,88.0,CCP,CCP,23261,8136,Action/ Free to Play/ Massively Multiplayer/ RPG/ Strategy,5650
BioShock Infinite,game,0.0,False,98946,9.98,94.0,Irrational Games/ Virtual Programming (Linux),2K,124600,8128,Action,462
Borderlands Game of the Year,game,0.0,False,19006,13.18,81.0,Gearbox Software,2K,27895,2886,Action/ RPG,185
Company of Heroes: Opposing Fronts,game,0.0,False,661,23.99,87.0,Relic Entertainment,SEGA,921,82,Action/ Strategy,33
Supreme Commander: Forged Alliance,game,0.0,False,7994,15.5,81.0,Gas Powered Games,Square Enix,11447,370,Strategy,1283
Saints Row 2,game,0.0,False,10416,3.73,72.0,Volition,Deep Silver,14217,4378,Action,125
Champions Online,game,0.0,True,180,0.0,72.0,Cryptic Studios,Gearbox Publishing,2797,1121,Free to Play/ Massively Multiplayer/ RPG,189
Star Trek Online,game,0.0,True,846,0.0,66.0,Cryptic Studios,Gearbox Publishing,14270,3824,Free to Play/ Massively Multiplayer/ RPG,1336
Call of Duty: World at War,game,0.0,False,38461,29.95,83.0,Treyarch,Activision,41605,3733,Action,619
Total War: EMPIRE – Definitive Edition,game,0.0,False,16703,9.37,90.0,Creative Assembly,SEGA/ Feral Interactive (Mac)/ Feral Interactive (Linux),28025,2800,Strategy,3592
TrackMania Nations Forever,game,0.0,True,173,0.0,0.0,Nadeo,Ubisoft,19198,2254,Racing,370
Grand Theft Auto III,game,0.0,False,10536,0.0,93.0,Rockstar Games,Rockstar Games,11812,1848,Action,59
Grand Theft Auto: Vice City,game,0.0,False,22910,0.0,94.0,Rockstar Games,Rockstar Games,25596,2045,Action,220
Grand Theft Auto: San Andreas,game,0.0,False,67837,0.0,93.0,Rockstar Games,Rockstar Games,72910,6477,Action,683
Bully: Scholarship Edition,game,0.0,False,24008,19.99,72.0,Rockstar New England,Rockstar Games,23464,4244,Action/ Adventure,283
Grand Theft Auto IV: The Complete Edition,game,0.0,False,111209,29.95,90.0,Rockstar North/ Rockstar Toronto,Rockstar Games,103992,26203,Action/ Adventure,2682
Grand Theft Auto: Episodes from Liberty City,game,0.0,False,7461,0.0,0.0,Rockstar North / Toronto,Rockstar Games,7606,2699,Action,0
Overlord II,game,0.0,False,3312,14.5,79.0,Triumph Studios,Codemasters/ Electronic Arts,3694,471,RPG,64
AudioSurf,game,0.0,False,8447,14.5,85.0,Dylan Fitterer,Pixel After Pixel,10189,444,Indie,15
Warhammer 40/000: Dawn of War II,game,0.0,False,5937,23.99,85.0,Relic Entertainment/ Feral Interactive (Mac/Linux),SEGA/ Feral Interactive (Mac/Linux),9740,1189,Strategy,237
Tribes: Ascend,game,0.0,True,0,0.0,86.0,Hi-Rez Studios,Hi-Rez Studios,6884,1661,Action/ Free to Play,1
Crysis,game,0.0,False,11443,39.95,91.0,Crytek,Electronic Arts,10213,2615,Action,28
Mass Effect (2007),game,0.0,False,14463,39.95,89.0,BioWare,Electronic Arts,15120,1004,Action/ RPG,54
Dead Space (2008),game,0.0,False,19613,29.95,87.0,EA Redwood Shores,Electronic Arts,23291,2150,Action/ Adventure,96
Command & Conquer: Red Alert 3,game,0.0,False,11310,29.95,82.0,EA Los Angeles,Electronic Arts,10664,1809,Strategy,818
Alice: Madness Returns,game,15.0,False,11641,29.95,75.0,Spicy Horse Games,Electronic Arts,12040,1460,Action/ Adventure,171
Red Faction Guerrilla Steam Edition,game,0.0,False,6010,0.0,82.0,Volition/ Reactor Zero/ THQ Nordic,Deep Silver,6755,731,Action,10
S.T.A.L.K.E.R.: Clear Sky,game,0.0,False,13396,14.5,75.0,GSC Game World,GSC World Publishing,14974,2495,Action/ RPG,292
The Witcher: Enhanced Edition Director's Cut,game,0.0,False,68751,13.59,86.0,CD PROJEKT RED,CD PROJEKT RED/ 1C-SoftClub,65610,8391,Action/ RPG,1107
The Witcher 2: Assassins of Kings Enhanced Edition,game,0.0,False,70928,27.19,88.0,CD PROJEKT RED,CD PROJEKT RED/ 1C-SoftClub,71679,8356,RPG,1025
F.E.A.R. 3,game,17.0,False,5693,28.95,74.0,Day 1 Studios,Warner Bros. Interactive Entertainment,8006,3148,Action,41
F.E.A.R.,game,15.0,False,9082,78.95,88.0,Monolith Productions/ Inc./ Timegate,Warner Bros. Games/ Warner Bros. Interactive Entertainment,0,0,Action,15
F.E.A.R.,game,15.0,False,9082,78.95,88.0,Monolith Productions/ Inc./ Timegate,Warner Bros. Games/ Warner Bros. Interactive Entertainment,0,0,Action,13
F.E.A.R.,game,15.0,False,9082,78.95,88.0,Monolith Productions/ Inc./ Timegate,Warner Bros. Games/ Warner Bros. Interactive Entertainment,0,0,Action,15
F.E.A.R.,game,15.0,False,9082,78.95,88.0,Monolith Productions/ Inc./ Timegate,Warner Bros. Games/ Warner Bros. Interactive Entertainment,0,0,Action,13
Resident Evil 5,game,15.0,False,26420,7.48,86.0,Capcom,Capcom,32136,4585,Action/ Adventure,716
World of Goo,game,0.0,False,3823,21.5,90.0,2D BOY,2D BOY ,5046,307,Indie,12
BRINK,game,0.0,True,1915,0.0,70.0,Splash Damage,Bethesda Softworks,4657,2848,Action/ Free to Play,17
Fallout 3: Game of the Year Edition,game,0.0,False,32030,29.95,91.0,Bethesda Game Studios,Bethesda Softworks,32976,8163,RPG,904
Fallout: New Vegas,game,14.0,False,145242,14.95,84.0,Obsidian Entertainment,Bethesda Softworks,175815,6468,Action/ RPG,6995
Burnout Paradise: The Ultimate Box,game,0.0,False,8723,0.0,87.0,Criterion Games,Electronic Arts,11499,1700,Racing,36
Mass Effect 2 (2010 Edition),game,0.0,False,13267,0.0,94.0,BioWare,Electronic Arts,14607,904,RPG,31
Braid,game,0.0,False,6193,21.5,90.0,Number None,Number None,8520,556,Casual/ Indie/ Strategy,16
Lord of the Rings: War in the North,game,0.0,False,3379,0.0,66.0,Snowblind Studios,Warner Bros. Interactive Entertainment,7228,1748,Action/ RPG,41
Assassin's Creed 2,game,17.0,False,40733,4.99,86.0,Ubisoft Montreal,Ubisoft,39099,4563,Action/ Adventure,643
Arma 2,game,0.0,False,1823,18.5,77.0,Bohemia Interactive,Bohemia Interactive,1778,350,Action/ Simulation/ Strategy,2
Arma 2: Operation Arrowhead,game,0.0,False,15840,28.95,73.0,Bohemia Interactive,Bohemia Interactive,20113,1660,Action/ Simulation/ Strategy,299
Total War: NAPOLEON – Definitive Edition,game,0.0,False,13374,9.37,81.0,CREATIVE ASSEMBLY/ Feral Interactive (Mac),SEGA/ Feral Interactive (Mac),19473,1908,Strategy,2031
SEGA Mega Drive and Genesis Classics,game,0.0,False,6660,0.0,0.0,D3T Limited,SEGA,8773,1617,Action/ Adventure/ Casual/ RPG,86
Sniper: Ghost Warrior 2,game,0.0,False,12293,2.9,52.0,City Interactive,CI Games,12687,4231,Action,78
Batman: Arkham Asylum Game of the Year Edition,game,0.0,False,36558,4.99,91.0,Rocksteady Studios,Warner Bros. Interactive Entertainment,50654,1950,Action/ Adventure,674
Red Orchestra 2: Heroes of Stalingrad with Rising Storm,game,0.0,False,23376,28.95,76.0,Tripwire Interactive,Tripwire Interactive,33730,2768,Action/ Massively Multiplayer/ Simulation,237
Trine Enchanted Edition,game,0.0,False,11311,5.37,80.0,Frozenbyte,Frozenbyte,13531,583,Action/ Adventure/ Indie,77
Trine 2: Complete Story,game,0.0,False,14359,7.23,84.0,Frozenbyte,Frozenbyte,19966,933,Action/ Adventure/ Indie,77
Fallout: A Post Nuclear Role Playing Game,game,0.0,False,10519,14.95,89.0,Interplay Inc.,Bethesda Softworks,15470,1039,RPG,193
Fallout 2: A Post Nuclear Role Playing Game,game,0.0,False,9669,14.95,86.0,Black Isle Studios,Bethesda Softworks,11308,703,RPG,257
Fallout Tactics: Brotherhood of Steel,game,0.0,False,1735,14.95,82.0,14° East,Bethesda Softworks,1683,443,Strategy,27
Moonbase Alpha,game,0.0,True,174,0.0,0.0,Virtual Heroes/ Army Game Studio,NASA,11438,1226,Adventure/ Simulation/ Strategy,6
RIFT,game,0.0,True,939,0.0,84.0,gamigo US Inc.,gamigo US Inc.,8043,2758,Free to Play/ Massively Multiplayer/ RPG,166
FINAL FANTASY VII,game,8.0,False,20547,17.95,0.0,Square Enix,Square Enix,22055,1675,RPG,483
FINAL FANTASY XIV Online,game,12.0,False,61588,28.95,83.0,Square Enix,Square Enix,59374,7748,Massively Multiplayer/ RPG,29950
Supreme Commander 2,game,0.0,False,7258,18.5,77.0,Gas Powered Games,Square Enix,10033,1340,Strategy,326
Super Meat Boy,game,0.0,False,23908,21.5,87.0,Team Meat,Electronic Arts,30658,1711,Indie,151
Stronghold HD,game,0.0,False,7124,8.49,81.0,FireFly Studios,FireFly Studios,8166,387,Simulation/ Strategy,619
Stronghold Crusader HD,game,0.0,False,13188,13.99,78.0,FireFly Studios,FireFly Studios,15461,388,Simulation/ Strategy,1653
Mafia,game,0.0,False,7076,19.99,88.0,Illusion Softworks,2K,10846,1612,Action/ Adventure,170
Serious Sam HD: The First Encounter,game,0.0,False,5698,21.5,68.0,Croteam,Devolver Digital,6645,448,Action/ Indie,36
Serious Sam 3: BFE,game,0.0,False,19531,43.95,72.0,Croteam,Devolver Digital,22978,3012,Action/ Indie,112
Torchlight,game,0.0,False,4620,21.5,83.0,Runic Games,Gearbox Publishing,5784,539,RPG,59
S.T.A.L.K.E.R.: Call of Pripyat,game,0.0,False,19598,28.95,80.0,GSC Game World,GSC Game World,23967,1195,Action/ RPG,358
Magicka,game,0.0,False,17439,14.5,74.0,Arrowhead Game Studios,Paradox Interactive,25974,3555,Action/ RPG,68
Victoria II,game,0.0,False,14408,28.95,75.0,Paradox Development Studio,Paradox Interactive,16176,1337,Strategy,920
Dragon Age: Origins - Ultimate Edition,game,0.0,False,18932,39.95,91.0,BioWare,Electronic Arts,18690,2143,RPG,855
Need For Speed: Hot Pursuit,game,0.0,False,17268,0.0,86.0,Criterion Games,Electronic Arts,16265,3476,Racing,52
LIMBO,game,0.0,False,27449,14.99,88.0,Playdead,Playdead,44593,3221,Action/ Adventure/ Indie,138
Mount & Blade: Warband,game,0.0,False,119467,27.95,78.0,TaleWorlds Entertainment,TaleWorlds Entertainment,149159,3434,Action/ RPG,4938
Borderlands 2,game,14.0,False,188674,6.48,89.0,Gearbox Software/ Aspyr (Mac)/ Aspyr (Linux),2K/ Aspyr (Mac)/ Aspyr (Linux),258269,17070,Action/ RPG,4397
Aliens: Colonial Marines Collection,game,0.0,False,6519,34.99,45.0,Gearbox Software,SEGA,6194,4229,Action,42
Mafia II (Classic),game,15.0,False,30081,0.0,77.0,2K Czech,2K,47868,2558,Action,290
Spec Ops: The Line,game,15.0,False,26004,29.95,76.0,YAGER,2K/ Missing Link Games,47518,3508,Action/ Adventure,71
Homefront,game,0.0,False,3186,5.99,70.0,Kaos Studios/ Digital Extremes,Deep Silver,7212,4738,Action,21
Warhammer 40/000: Space Marine - Anniversary Edition,game,18.0,False,10959,75.0,74.0,Relic Entertainment,SEGA,20853,1843,Action,183
Saints Row: The Third,game,15.0,False,46659,7.47,84.0,Volition,Deep Silver,64180,2759,Action,313
Warhammer 40/000: Dawn of War II: Retribution,game,0.0,False,6665,33.99,0.0,Relic Entertainment/ Feral Interactive (Mac/Linux),SEGA/ Feral Interactive (Mac/Linux),10253,1060,Strategy,0
Amnesia: The Dark Descent,game,0.0,False,16983,8.85,85.0,Frictional Games,Frictional Games,29559,1662,Action/ Adventure/ Indie,92
Tropico 4,game,0.0,False,7684,22.95,78.0,Haemimont Games,Kalypso Media Digital,10941,992,Simulation/ Strategy,123
Sniper Elite V2,game,0.0,False,5712,0.0,66.0,Rebellion,Rebellion,21896,2918,Action,78
ARMA: Cold War Assault,game,0.0,False,1900,7.5,0.0,Bohemia Interactive,Bohemia Interactive,4550,1219,Action/ Simulation/ Strategy,27
Dungeon Defenders,game,0.0,False,10245,21.5,81.0,Chromatic Games,Chromatic Games,15247,1151,Action/ Indie/ RPG/ Strategy,440
The Bureau: XCOM Declassified,game,15.0,False,4509,29.95,66.0,2K Marin,2K,7971,3418,Action,20
The Darkness II,game,15.0,False,6228,39.99,77.0,Digital Extremes,2K,16727,1561,Action,22
Dino D-Day,game,0.0,False,7891,14.5,53.0,800 North and Digital Ranch,800 North and Digital Ranch,12593,2421,Action/ Indie,4
Sonic Generations Collection,game,0.0,False,17119,23.99,77.0,Devil's Details,SEGA,20167,1459,Action,140
The Elder Scrolls V: Skyrim,game,0.0,False,180426,29.95,94.0,Bethesda Game Studios,Bethesda Softworks,297394,16086,RPG,3279
The Tiny Bang Story,game,0.0,False,3414,7.5,63.0,Colibri Games,Colibri Games,5389,759,Adventure/ Casual/ Indie,16
Defy Gravity Extended,game,0.0,False,6840,0.97,0.0,Paul Fisch,Fish Factory Games,7407,1204,Action/ Casual/ Indie,8
Spiral Knights,game,0.0,True,188,0.0,64.0,Grey Havens,Grey Havens,19304,3671,Action/ Adventure/ Casual/ Free to Play/ Indie/ Massively Multiplayer/ RPG,165
Orcs Must Die!,game,0.0,False,5750,14.5,83.0,Robot Entertainment,Robot Entertainment,7171,270,Action/ Indie/ Strategy,22
ORION: Prelude,game,0.0,False,19334,1.5,0.0,DANKIE,DANKIE,21664,7137,Action/ Adventure/ Indie/ RPG,9
Terraria,game,0.0,False,927084,14.25,83.0,Re-Logic,Re-Logic,1137066,26474,Action/ Adventure/ Indie/ RPG,51374
Bastion,game,0.0,False,26473,21.95,86.0,Supergiant Games,Supergiant Games,34416,1616,Action/ Indie/ RPG,39
Cthulhu Saves the World,game,0.0,False,2873,4.5,78.0,Zeboyd Digital Entertainment LLC,Zeboyd Digital Entertainment LLC,3085,265,Indie/ RPG,5
Arma 3,game,0.0,False,188773,44.95,74.0,Bohemia Interactive,Bohemia Interactive,225056,23724,Action/ Simulation/ Strategy,15877
Project Zomboid,game,0.0,False,165227,29.5,0.0,The Indie Stone,The Indie Stone,201944,13534,Indie/ RPG/ Simulation/ Early Access,33105
Alan Wake,game,0.0,False,28336,21.5,83.0,Remedy Entertainment,Remedy Entertainment,35705,3609,Action/ Adventure,169
Crysis 2 - Maximum Edition,game,0.0,False,8789,39.95,0.0,Crytek Studios,Electronic Arts,11198,1976,Action,53
Neverwinter,game,0.0,True,307,0.0,74.0,Cryptic Studios,Gearbox Publishing,28176,8214,Action/ Adventure/ Free to Play/ Massively Multiplayer/ RPG,1514
L.A. Noire,game,15.0,False,24578,29.95,83.0,Team Bondi/ Rockstar Leeds,Rockstar Games,25483,4346,Adventure/ Strategy,308
Monaco: What's Yours Is Mine,game,0.0,False,3723,4.3,83.0,Pocketwatch Games,Humble Games,7684,784,Action/ Adventure/ Casual/ Indie/ Strategy,22
The Binding of Isaac,game,0.0,False,42980,7.5,84.0,Edmund McMillen/ Florian Himsl,Edmund McMillen,53367,2640,Action/ Adventure/ Indie/ RPG,281
APB Reloaded,game,0.0,True,370,0.0,0.0,Reloaded Productions,Little Orbit,23189,13276,Action/ Free to Play/ Massively Multiplayer,300
Worms Revolution,game,0.0,False,5111,21.5,73.0,Team17 Digital Ltd,Team17 Digital Ltd,7069,1057,Strategy,97
Realm of the Mad God Exalt,game,0.0,True,202,0.0,82.0,Wild Shadow Studios/ Deca Games,Deca Games,36795,7357,Action/ Free to Play/ Indie/ Massively Multiplayer/ RPG,1855
Batman: Arkham City - Game of the Year Edition,game,0.0,False,37795,7.23,91.0,Rocksteady Studios,Warner Bros. Interactive Entertainment,51530,2187,Action/ Adventure,901
XCOM: Enemy Unknown,game,15.0,False,35387,39.95,89.0,Firaxis Games/ Feral Interactive (Linux),2K/ Feral Interactive (Linux),49180,2936,Strategy,1018
Torchlight II,game,0.0,False,30567,28.95,88.0,Runic Games,Gearbox Publishing,39259,2992,Action/ Adventure/ Indie/ RPG,397
Total War: SHOGUN 2,game,0.0,False,29595,11.24,90.0,Creative Assembly,SEGA/ Feral Interactive (Mac)/ Feral Interactive (Linux),51304,4738,Strategy,1
Orcs Must Die! 2,game,15.0,False,12132,21.5,83.0,Robot Entertainment,Robot Entertainment,17296,1175,Action/ Adventure/ Indie/ RPG/ Strategy,101
Wolfenstein: The New Order,game,17.0,False,35746,29.95,81.0,MachineGames,Bethesda Softworks,45064,4394,Action,389
Sleeping Dogs,game,15.0,False,9932,0.0,80.0,United Front Games,Square Enix,15892,922,Action/ Adventure,34
Alan Wake's American Nightmare,game,0.0,False,5253,12.95,73.0,Remedy Entertainment,Remedy Entertainment,5101,2081,Action/ Adventure,22
Tomb Raider,game,15.0,False,137135,21.95,86.0,Crystal Dynamics/ Eidos-Montréal/ Feral Interactive (Mac)/ Nixxes,Crystal Dynamics/ Feral Interactive (Mac),215351,8592,Action/ Adventure,2235
America's Army: Proving Grounds,game,0.0,True,135,0.0,0.0,U.S. Army,U.S. Army,8375,2264,Action/ Free to Play,201
Crusader Kings II,game,0.0,True,30553,0.0,82.0,Paradox Development Studio,Paradox Interactive,63537,6945,Free to Play/ RPG/ Simulation/ Strategy,2750
Max Payne 3,game,0.0,False,38770,29.95,87.0,Rockstar Studios,Rockstar Games,40212,6680,Action,298
Awesomenauts - the 2D moba,game,0.0,True,11781,0.0,78.0,Ronimo Games,Ronimo Games,22471,4061,Action/ Free to Play/ Indie/ Strategy,147
Serious Sam 2,game,0.0,False,9131,14.5,74.0,Croteam,Devolver Digital,9839,1122,Action/ Indie,54
Call of Juarez: Gunslinger,game,0.0,False,14964,21.5,79.0,Techland,Techland Publishing,32302,1671,Action,112
Dishonored,game,0.0,False,55973,14.95,91.0,Arkane Studios,Bethesda Softworks,72411,1787,Action/ Adventure,589
Hell Yeah! Wrath of the Dead Rabbit,game,0.0,False,562,18.99,64.0,Arkedo,SEGA,3056,514,Action,1
Gotham City Impostors Free to Play,game,0.0,False,427,0.0,0.0,Monolith Productions/ Inc.,Warner Bros. Interactive Entertainment,10109,1784,Action/ Free to Play,11
Saints Row IV: Re-Elected,game,15.0,False,56453,8.48,86.0,Deep Silver Volition,Deep Silver,67565,8799,Action/ Adventure,248
To the Moon,game,0.0,False,52750,14.5,81.0,Freebird Games,Freebird Games,66048,2467,Adventure/ Indie/ RPG,93
AirMech Strike,game,0.0,True,0,0.0,0.0,Carbon Games,Carbon Games,8588,1634,Action/ Free to Play/ Indie/ Strategy,28
SpeedRunners,game,0.0,False,21423,21.95,84.0,DoubleDutch Games,tinyBuild,32801,2129,Action/ Casual/ Indie/ Racing/ Sports,287
The Walking Dead,game,15.0,False,37971,17.95,82.0,Telltale Games,Skybound Games,60715,1798,Adventure,244
Loadout,game,17.0,False,1182,0.0,72.0,Edge of Reality,Edge of Reality,34478,5201,Action/ Free to Play/ Indie,0
Guns of Icarus Online,game,0.0,False,8258,7.5,64.0,Muse Games,Muse Games,13184,1454,Action/ Adventure/ Indie/ Simulation,5
Cortex Command,game,0.0,False,1883,28.95,44.0,Data Realms,Data Realms/ LLC,4216,1664,Action/ Indie/ Strategy,11
Blacklight: Retribution,game,0.0,False,154,0.0,75.0,Hardsuit Labs/ Inc.,Hardsuit Labs/ Inc.,12447,3978,Action/ Free to Play,1
Sanctum 2,game,0.0,False,7170,21.5,77.0,Coffee Stain Studios,Coffee Stain Publishing,12602,1397,Action/ Indie/ Strategy,41
The Witness,game,0.0,False,12502,56.95,87.0,Thekla/ Inc.,Thekla/ Inc.,13302,2356,Adventure/ Indie,164
RaceRoom Racing Experience,game,0.0,True,1828,0.0,0.0,KW Studios,KW Studios/ RaceRoom Entertainment AG,14116,5009,Free to Play/ Racing/ Simulation/ Sports,896
Starbound,game,0.0,False,117779,21.5,81.0,Chucklefish,Chucklefish,149428,11844,Action/ Adventure/ Casual/ Indie/ RPG,1840
Star Conflict,game,0.0,True,203,0.0,75.0,Star Gem Inc.,Gaijin Distribution KFT,10637,3709,Action/ Free to Play/ Massively Multiplayer/ Simulation,172
Vindictus,game,0.0,True,0,0.0,76.0,devCAT,NEXON Korea Corp. &amp; NEXON America Inc.,5140,2382,Action/ Adventure/ Free to Play/ Massively Multiplayer/ RPG,211
FTL: Faster Than Light,game,0.0,False,53878,14.5,84.0,Subset Games,Subset Games,65452,2961,Indie/ Simulation/ Strategy,1330
TERA - Action MMORPG,game,0.0,False,232,0.0,77.0,Bluehole/ Inc.,Gameforge 4D GmbH,6001,1694,Action/ Adventure/ Free to Play/ Massively Multiplayer/ RPG,1
Gear Up,game,0.0,True,970,0.0,0.0,Doctor Entertainment AB,Doctor Entertainment AB,6323,2157,Action/ Free to Play/ Indie,3
Alien: Isolation,game,0.0,False,37329,11.99,81.0,Creative Assembly/ Feral Interactive (Mac)/ Feral Interactive (Linux),SEGA/ Feral Interactive (Mac)/ Feral Interactive (Linux),48112,3652,Action,271
Mark of the Ninja,game,0.0,False,11663,0.0,91.0,Klei Entertainment,Microsoft Studios,15264,472,Action/ Adventure/ Indie,11
Total War: ROME II - Emperor Edition,game,0.0,False,47798,22.49,76.0,CREATIVE ASSEMBLY,SEGA,64593,14155,Strategy,7454
WAKFU,game,0.0,True,145,0.0,76.0,Ankama Studio,Ankama Games,6949,2336,Action/ Adventure/ Casual/ Free to Play/ Indie/ Massively Multiplayer/ RPG/ Strategy,367
Secret World Legends,game,0.0,True,4344,0.0,76.0,Funcom,Funcom,5830,2866,Action/ Adventure/ Free to Play/ Massively Multiplayer/ RPG,73
MapleStory,game,0.0,True,103,0.0,0.0,Nexon,Nexon America Inc.,7465,3652,Action/ Adventure/ Casual/ Free to Play/ Massively Multiplayer/ RPG,5919
PlanetSide 2,game,0.0,True,595,0.0,84.0,Rogue Planet Games,Daybreak Game Company,57225,12964,Action/ Free to Play/ Massively Multiplayer,1124
PAYDAY 2,game,18.0,False,410472,14.99,79.0,OVERKILL - a Starbreeze Studio.,Starbreeze Publishing AB,563127,67646,Action/ RPG,38654
Scribblenauts Unlimited,game,0.0,False,6872,29.95,75.0,5th Cell Media,Warner Bros. Interactive Entertainment,10037,678,Adventure/ Casual/ Strategy,65
Hotline Miami,game,15.0,False,72108,14.5,85.0,Dennaton Games,Devolver Digital,83196,2285,Action/ Indie,250
