name,type,required_age,is_free,recommendations,price_overview,metacritic_score,developer,publisher,positive,negative,genre,ccu
Freddy Fazbear's Pizzeria Simulator,game,0.0,True,0,0.0,0.0,Scott Cawthon,Scott Cawthon,22945,1445,Free to Play/ Indie/ Simulation,281
Phasmophobia,game,0.0,False,466431,19.95,0.0,Kinetic Games,Kinetic Games,553510,18974,Action/ Indie/ Early Access,20600
Tales of Arise,game,0.0,False,22561,41.98,84.0,Bandai Namco Studios Inc.,Bandai Namco Entertainment,26857,3154,Action/ RPG,667
Dead Frontier 2,game,0.0,True,0,0.0,0.0,Creaky Corpse Ltd,Creaky Corpse Ltd,16072,6501,Action/ Free to Play/ Indie/ Massively Multiplayer/ RPG,1048
Shadow of the Tomb Raider: Definitive Edition,game,15.0,False,53112,0.0,77.0,Eidos-Montréal/ Crystal Dynamics/ Nixxes/ Feral Interactive (Mac)/ Feral interactive (Linux),Crystal Dynamics/ Feral Interactive (Mac)/ Feral interactive (Linux),56295,10730,Action/ Adventure,858
A Plague Tale: Innocence,game,0.0,False,46840,10.99,81.0,Asobo Studio,Focus Entertainment,50129,3454,Action/ Adventure,682
Outer Wilds,game,0.0,False,45662,36.95,85.0,Mobius Digital,Annapurna Interactive,49232,2332,Action/ Adventure,963
Ring of Elysium,game,0.0,True,718,0.0,0.0,Aurora Studio,TCH Scarlet Limited,74638,25897,Action/ Free to Play/ Massively Multiplayer,267
Albion Online,game,0.0,True,1799,0.0,72.0,Sandbox Interactive GmbH,Sandbox Interactive GmbH,49509,12780,Free to Play/ Massively Multiplayer/ RPG,13998
Russian Fishing 4,game,0.0,True,0,0.0,0.0,FishSoft/ LLC,FishSoft/ LLC,24793,7914,Adventure/ Casual/ Free to Play/ Massively Multiplayer/ RPG/ Simulation/ Sports,11153
War Robots,game,0.0,True,0,0.0,0.0,Pixonic,Pixonic,11373,6779,Action/ Free to Play,1706
Muse Dash,game,0.0,False,83369,4.5,0.0,peropero,hasuhasu,86142,4857,Action/ Casual/ Indie,2149
Project Winter,game,0.0,False,13093,14.5,0.0,Other Ocean Interactive,Other Ocean Group,15329,3133,Action/ Adventure/ Casual/ Indie/ Strategy,144
Total War: THREE KINGDOMS,game,0.0,False,63728,30.59,85.0,Creative Assembly,SEGA/ Feral Interactive (Mac)/ Feral Interactive (Linux),68498,27458,Action/ Strategy,8477
The Riftbreaker,game,0.0,False,13402,44.95,83.0,EXOR Studios,EXOR Studios/ Surefire.Games,13145,1238,Action/ Adventure/ Indie/ RPG/ Simulation/ Strategy,741
DOOM Eternal,game,17.0,False,153979,39.99,88.0,id Software,Bethesda Softworks,159545,16015,Action,1524
Ironsight,game,0.0,True,0,0.0,0.0,WipleGames Inc./,WipleGames Inc./,14793,5588,Action/ Free to Play,405
